P20273	Q07108
O14521	Q96PE7
Q99798	Q9Y4W6
P36957	Q96JJ7
P82933	Q86TS9
P08493	P15502
Q15004	Q9H0H5
O43181	O43677
P26641	Q05639
P19387	P25705
P26718	Q495A1
P01040	P19957
Q9H222	Q9H222
O43709	Q9BVI4
O60565	Q99750
P30050	P62273
P05165	P51648
Q92844	Q9Y6K9
O43281	Q13526
Q0VD86	Q9BZE9
P37173	Q7Z434
P61218	Q13216
O14744	O60341
P01375	P40933
O15211	O15212
Q5ZPR3	Q8TDQ0
P09622	P28331
P62854	Q96A35
O95786	Q8IXQ6
A8MZ26	Q96P56
O43719	O75937
P49715	Q9Y2D1
Q13616	Q9UK99
P23396	P46776
Q14232	Q9UI10
Q05519	Q5VTL8
Q15004	Q96KB5
Q9BZL1	Q9UBX0
Q96GX9	Q9Y3Q8
Q6YP21	Q8N5Z0
O95801	Q9UHD2
O60331	Q86T03
P49763	P49767
P01100	P10145
O15431	O15431
Q7Z7H8	Q96EY7
P04075	Q9BUM1
O60826	Q8N6Y0
P25490	Q9BSM1
P03372	P06748
Q96GQ5	Q9BQ51
Q15435	Q99614
Q8N8K9	Q9H5Z6
Q01201	Q13114
O95182	O95298
P04198	P04637
P83876	Q96A72
P36542	Q9Y2R9
P01100	Q8N2I9
P15880	Q5JRM2
Q8TED0	Q9NRX1
O43808	Q92968
Q96S96	Q9H2W6
P54105	P62318
Q969X5	Q969Y2
P01730	P60508
Q96CB9	Q9BQC6
Q16543	Q9UKT8
P51970	Q9BXM7
O75964	Q9NX14
Q13114	Q9Y6Y9
P57740	P57740
Q8N1B4	Q9H4P4
P50542	Q9BSI4
O60733	O95199
O60548	Q03989
Q86WQ0	Q86WQ0
O15169	P46937
O15392	Q14680
O15371	Q99832
P31785	Q13007
P35222	Q8N9N5
P62899	Q8WTT2
P31350	Q9UKT4
O95072	Q15431
P04637	Q8N6T7
Q68CQ4	Q9NY61
Q5T7P3	Q7Z417
P52790	Q9H0I9
P55061	Q9BYJ0
P17027	Q8N5M1
Q8N8X9	Q9NPJ6
P32969	P46778
P42766	Q9NWU5
Q8IXK0	Q9UQR0
O14788	P13686
O14879	P80217
Q12824	Q86YD7
P04183	Q9NSP4
P61218	Q5VWG9
O95478	P55769
Q6IBW4	Q6IBW4
Q9BVV2	Q9Y2D8
Q96LR2	Q9H0I2
P83876	Q9Y312
P35269	Q96HR3
A6NI15	Q9BXU0
O00746	P50583
Q96KJ9	Q9H425
Q9BS16	Q9BZD4
P01584	P20749
O60725	Q13049
O00311	Q9BTE3
O43678	P22695
P03372	Q86X55
O14521	P99999
P52655	Q6ZYL4
Q6ZUI0	Q9H6H4
P06744	P21953
P62851	Q5T1N1
O15239	O43678
O14958	Q9NPC6
O95238	P25786
O43678	O95182
O60220	P55789
P83876	Q8WWY3
Q8NA82	Q8NA82
Q6ICB0	Q9H305
P49901	P60329
Q9NVV9	Q9ULV3
B3GLJ2	Q8WXA2
P53350	Q4G163
Q8WUK0	Q8WUK0
Q8N720	Q9NQT4
Q6UX41	Q99541
O14777	Q53HL2
P82932	Q9P0K9
Q6ZWK4	Q8N0V3
P14635	Q9BW19
Q8IUC3	Q9NZ81
O14832	Q9UJX2
P55089	Q96RP3
Q99795	Q9NUX5
Q13435	Q6UX04
B2RUZ4	Q6P9G4
Q15024	Q8IWA0
Q8IY31	Q9UPT5
P52815	Q9NZE8
Q14565	Q96B01
P41159	P43490
O14625	O95715
Q8IXQ6	Q96J88
O75344	Q9BRK4
P05387	Q99471
Q16635	Q9Y375
Q00059	Q9Y3D6
Q8NC60	Q96EY7
P50548	P50548
P83876	Q96NC0
O43513	Q13889
O60603	P14780
P23396	P62244
Q13526	Q52MB2
P0DPK4	Q9NX63
Q96MY7	Q99750
Q12933	Q9H0W8
O14561	P10515
P05231	Q16625
P04141	P29965
P29350	Q14790
P62241	P62753
P63244	Q7L2H7
P30613	P61513
P28906	P28907
Q15326	Q15750
Q15050	Q969S3
P04233	P26373
P32969	Q9BXY0
Q8TAT5	Q9UQ84
Q9H6T3	Q9NWS0
Q9H6L4	Q9NX63
P14678	Q15696
P50914	P50914
P26373	Q9NXF1
Q13137	Q8WUI4
P22303	P63244
P51948	Q9Y3C7
P15559	Q16236
Q8N1S5	Q9ULF5
O00401	P61978
P00734	P02749
O60216	Q8WVB6
P62888	Q9H009
Q6PL24	Q9H2K0
P48506	Q99259
Q96E09	Q96E09
O75716	P14373
Q96A35	Q96CM8
P27918	Q2WGJ6
P60228	P62244
Q9NX24	Q9NX24
P82933	Q9Y3B7
Q52LG2	Q8N4L8
O75911	Q9BPW9
Q969L4	Q9BZJ0
O95299	P56181
Q6IA17	Q9H0E2
P29459	Q99665
Q5T700	Q96JW4
P01584	Q96EB6
Q9BZL1	Q9HCM9
Q92562	Q96PE3
Q13795	Q96MW5
Q13867	Q13867
Q96E22	Q9Y5Z9
Q8N0Z6	Q8N0Z6
P30154	Q8TF05
O75521	Q9Y2S2
Q9P0J6	Q9Y3B7
P05067	P20674
P62875	Q04864
P06127	P60568
P37840	Q16740
Q9BRR8	Q9UMS4
Q712K3	Q8TBC4
Q9HB96	Q9NZL4
P32780	P52435
Q86VR2	Q99640
Q53H54	Q6IPR3
Q8IXM2	Q9NXF1
P20963	P26842
Q0VD86	Q9NQL9
Q96AW1	Q96AW1
Q9H5X1	Q9NVD3
A0A087WW87	A0A0B4J1V0
O75460	Q15084
Q96EC8	Q9BWQ6
P01303	Q9UBU3
Q12837	Q2TAL6
P54829	Q9UEU0
Q7Z417	Q96DN2
P0CG48	Q9Y6K9
P63173	Q5T1N1
P13693	Q05639
O00253	Q96T53
Q8NEB9	Q8TDR2
P82673	Q9NV31
P49757	P98175
P16298	Q9UKA8
O14957	P03901
O75529	P61964
O75360	P01189
P01584	P10415
Q96CM3	Q9NPE2
P42226	Q7KZF4
Q53GS9	Q9Y3B4
O60487	O60487
Q96CU9	Q9UI09
P28799	Q8IZU1
Q12933	Q86YD7
Q3KNW5	Q9BUP3
P61313	Q9NX20
Q6UWN5	Q9UKR5
Q8N7W2	Q9BZL1
Q96CM3	Q9H4K7
O75832	Q16401
Q13610	Q9NYH9
Q5HYK3	Q99807
Q9HA38	Q9HA38
P13501	P35225
Q9NRI5	Q9UMX1
O95279	O95279
P35611	P35611
Q12933	Q63ZY3
Q13084	Q9HC36
O75438	P14927
Q96Q11	Q9H3H1
O14543	Q13951
P19544	Q9NRD5
O75031	P01189
P10176	P47985
P51617	Q9NPH3
Q8WW34	Q9HB07
Q8N653	Q92990
O43482	Q5EE01
O43318	Q9Y4K3
P46779	P61313
Q96E11	Q9H2K0
Q15742	Q9H0C1
O15393	Q9BQA9
P60866	Q8IXM3
O95926	Q9HCG8
P62306	Q6IEG0
P82914	Q6NVY1
Q9NNZ3	Q9NNZ3
P07492	Q5H8A3
O76064	Q8IX15
P05231	P25942
P62851	Q96T21
Q6P6C2	Q9H9V9
Q5T8D3	Q9Y3D6
P51948	Q9NPJ6
P04198	Q92769
Q8IXM2	Q8WWY3
Q96B26	Q96HA8
O14920	P01584
P28907	P29965
Q02577	Q96EB6
P49639	Q9Y342
P61313	Q9UHB9
P46087	Q9NW13
P10515	P36957
P49788	P49788
Q6PML9	Q6XR72
Q13287	Q13287
O43734	O43734
P37108	P46779
O14770	Q96C01
Q8IYH5	Q8IYH5
Q16540	Q6NVY1
P04637	Q9Y4K3
Q5TGZ0	Q9NX63
P20809	Q14626
Q13520	Q96JW4
Q5BKX5	Q9Y4Z0
P09234	P09234
P21549	P23434
P18754	P47224
P09669	P48047
O60508	Q8WYA6
O43765	Q5DT21
P46777	Q96EH3
Q08426	Q9UGI0
O76021	P62263
P09234	Q52LG2
P02144	P99999
Q7Z3H4	Q7Z3H4
P27695	Q8TAT5
O94763	P62136
P61353	P62241
A8MQ03	Q99572
P27797	Q14697
P08574	Q9HBL8
P19388	Q9H3P2
P13196	Q6P444
P26373	P82914
Q8N0Y2	Q8N0Y2
Q92968	Q9Y5Y5
Q6PI25	Q9UF02
P29965	P36941
P62306	Q5BKX5
Q01860	Q9H6I2
Q68EM7	Q96B97
O95926	Q15029
P24863	Q96AQ6
Q96HA8	Q9H773
P62314	Q9HCS7
P83369	Q16637
Q712K3	Q92624
Q16854	Q96P26
P62851	Q15056
P57775	Q5XUX1
P41595	P41595
P61619	P63244
P48444	Q8NDZ4
P55081	Q2TAC2
O15037	Q9NWF9
P62424	P82675
Q8NDC0	Q96PV6
Q04864	Q9Y4K3
Q96H20	Q9UQN3
O95299	Q9BXM7
P62805	Q9GZS3
Q2TBA0	Q9P2N7
Q13520	Q8N912
Q86TS9	Q9BQ48
Q8TBB1	Q9H9H4
Q8NEJ9	Q8TED0
O15235	Q9NWU5
Q9H019	Q9H019
O43143	Q15459
O15392	P31350
Q9BZL1	Q9H0A9
O95045	P11172
P02679	Q14520
P18084	Q15063
Q15208	Q9UNH5
Q3SY00	Q4VC12
Q8N5H3	Q9UJX4
P62857	Q7Z417
O94888	Q9BZV1
P14927	P14927
P09661	Q9HCG8
P01189	P24387
O95881	P36269
Q6PIF2	Q9BXU0
Q9BSR8	Q9GZM5
Q9H5X1	Q9H5X1
P09919	P13501
O43663	Q14680
Q6UX40	Q86X19
O94906	Q5BKX5
P18621	Q5JRM2
P62753	Q969X6
P41247	Q9NP80
Q53H12	Q9BSF4
Q7L592	Q9Y375
Q5JR98	Q5JR98
P61247	Q13895
Q13470	Q13470
O00567	Q9NVN8
O60260	Q7Z699
Q6IN84	Q9UI43
P26373	P46781
Q03828	Q9H0C1
P10074	Q96EG3
O43741	Q15742
P32969	P63220
O14796	O14796
O76024	Q5VZB9
P62316	Q9BW85
Q16774	Q16774
Q7Z699	Q99828
P61619	Q8N8Q8
P63173	Q96T21
Q14626	Q96C23
P23396	P47897
O14862	Q14457
O75821	Q96G91
Q86SQ9	Q86YH6
Q3LI67	Q3LI67
Q08945	Q6UXA7
P16070	P16871
Q14258	Q96C10
Q16568	Q9Y2S2
Q9P0N9	Q9UJC3
P82673	Q15070
P15954	Q6YFQ2
Q9UJJ9	Q9UJJ9
P09661	Q15029
Q6NYC8	Q9Y2V7
P62249	Q14684
O75616	Q14197
Q99627	Q9UBW8
Q04864	Q9BYH8
O43741	Q9UGJ0
P53350	Q13616
P62875	Q13216
Q8IWR1	Q96IW7
O00232	O00487
P18146	Q9BTL4
O00472	P55212
P38919	P62316
P62913	Q4G0J3
P04216	P10721
Q8TBB1	Q9NYB9
P41227	Q9BWC9
Q01844	Q07666
O00541	P62750
A8MQ03	Q86VE0
Q9NWY4	Q9UGN5
P51659	Q13155
P40926	P45880
Q12887	Q9NRK6
Q96H22	Q9BXS6
O43312	Q9UMX1
Q8NBD8	Q96RD7
P08034	Q96MX0
P09001	Q16540
P62888	Q15041
O15541	Q9BWG6
Q14680	Q15004
Q86VX2	Q86X83
O75251	Q330K2
Q96Q07	Q9BYD3
P03897	P51970
Q96KJ9	Q9UII2
P23490	Q15517
Q99757	Q9BT25
O95760	Q9Y4K3
O95259	Q8TD86
O43747	Q9Y2T2
O75937	O75937
P35222	P53350
Q9ULR3	Q9ULR3
Q8NDD1	Q9Y2P8
P61011	Q02878
O75031	Q9UBP5
O00244	O00244
Q0WX57	Q9H7L9
O43684	Q8N2Z9
Q14653	Q92844
P01100	P18848
A0AVF1	Q8TDR0
Q6XQN6	Q96P26
P80188	Q96JG8
Q7Z3B1	Q96SI1
Q96D31	Q9UGI6
Q96CW5	Q9Y5B8
P78380	Q14108
O75489	Q16854
Q8N554	Q96BR9
Q9BQC6	Q9NYK5
P30041	Q9H4Y5
P01106	Q99741
O15235	P78316
P19387	Q71SY5
P01584	P05067
A8MT69	Q9NPD8
P49720	Q53H80
Q8NHQ9	Q8WTT2
Q8N6Y0	Q99459
Q9UHD2	Q9Y6Y9
Q8N9W6	Q96LM5
Q02223	Q02223
Q9BR09	Q9BR10
Q96JB2	Q9H082
Q96T75	Q96T75
P62875	Q5VWG9
P62273	P62917
Q9H4B6	Q9UGP4
P04216	P11912
P26641	Q7L3T8
Q9H4H8	Q9H4H8
P01019	P13500
O60508	Q9BZJ0
O75409	P48643
P35269	Q6ZYL4
P16410	Q6ZQW0
P62249	Q9Y2P8
O95140	Q96AG3
O94925	Q9UJ14
Q96D03	Q9Y263
O75593	P0C7T5
P05388	P49771
P36776	Q12931
P62913	Q9HB96
Q15050	Q9UBP6
P82933	Q96RP9
O95391	Q9H5V9
P62854	Q96IZ7
O43482	P14635
Q14498	Q96MA6
P82912	Q9NP92
Q6P087	Q9HC36
P02647	P02766
P14635	Q99661
P50570	Q9UII2
P46782	Q02878
Q0VGL1	Q9HAD4
Q9NRQ5	Q9NS71
Q08648	Q5W5X9
Q15269	Q8WTT2
P62277	Q9HBH1
P16410	P40967
O00206	P41273
O75379	Q9UEU0
P49591	P57772
Q9BXK5	Q9NW97
P55795	Q12906
Q7Z7H8	Q86TS9
A8MZ59	Q5BJF2
Q07627	Q9H7X3
Q9BU61	Q9Y6M9
P13473	Q96LJ7
P62917	Q13347
P02818	Q13316
P82650	Q9P015
P62308	Q9Y4Z0
O76064	P11182
P06400	Q04118
A0A1B0GUV7	P49411
Q92556	Q96LT7
Q13405	Q969S9
Q3SXP7	Q96JW4
P02768	P03372
Q13415	Q99741
P04818	P21589
A4D1E9	Q9BYD2
O00422	Q9H7L9
P52747	P52747
P15954	P28331
O15213	Q86U38
P82663	Q9Y2Q9
P13051	Q9UIF7
P13591	Q9UNE7
Q8WXH2	Q9NSU2
P38919	Q96A72
P38432	Q8NHQ1
O75865	O95400
P62851	P62910
Q14534	Q14739
Q9NTX9	Q9UI95
Q8TBZ6	Q9UJA5
Q15029	Q5T653
Q15008	Q8N594
P50579	Q9BZE4
P0CG20	Q6PEX3
Q9H9A6	Q9Y597
Q6QNY1	Q86YV9
P00403	Q9UI09
O95456	Q9UJY1
O15083	O15083
P62854	Q9Y3U8
O60783	O75394
O15160	P15880
O43759	O43759
A6NK89	Q96A05
O00161	Q9H115
Q96T37	Q9C0F1
P18827	Q8WUM4
P19099	P30556
Q5TA45	Q9UL03
Q8IYX8	Q92805
Q15397	Q969X6
P39019	P50914
O75616	Q8NC60
P62244	Q8NI36
Q969S9	Q9Y6G3
Q96CU9	Q9P032
Q5T619	Q8WV44
Q96EZ8	Q9Y2W2
P25445	Q03135
P37840	Q13569
P48444	Q13190
P49771	Q9HB96
O15239	P00395
Q13651	Q9NRQ5
Q8IYF3	Q8N443
P49591	Q7Z7C8
Q9BZE9	Q9BZV1
A8MQ03	Q9HB63
Q99807	Q99807
P08865	P50990
P19623	P21673
P18887	P27695
P55895	P60568
Q8NEF9	Q9NYH9
Q13323	Q9Y6D0
O75764	O75764
P40197	P40197
P61513	P62241
P01100	P07101
P54105	P62316
P14784	P31785
Q96E29	Q9BYT1
Q9NX24	Q9Y3C1
Q15637	Q15637
Q13227	Q9UBB9
P47985	Q96S66
P51843	P62857
Q96MV1	Q9Y6X1
O76024	Q9BT09
Q16514	Q6SJ96
Q9GZL7	Q9NV31
O15446	P61218
P61964	Q01860
P52739	Q5TD97
Q8TED0	Q9NQT5
P47914	P62753
P46779	Q5JVS0
P20809	Q6UWB1
P82912	Q96EL2
P62753	Q9Y5J1
P61165	Q9UNL2
P78316	Q8IY81
P19387	P63272
Q16543	Q6PI77
Q9H257	Q9H257
P41227	Q9Y5P8
Q86U28	Q9H5Z6
P08574	Q9Y276
P05231	Q9NP95
O60238	Q5T700
O43524	Q07820
Q15038	Q96K80
O94972	Q8IYY4
Q14137	Q86U38
P04637	Q01844
P18847	Q9BTL4
P30566	Q13946
O95336	Q5T6J7
P23508	Q7Z4V0
Q99848	Q9NY61
O60260	Q9Y572
P23588	Q15056
P04141	P16871
O14775	P49798
P13693	Q5JRM2
Q8TDQ0	Q9H7M9
Q6UX04	Q9Y3B4
O75947	O95169
Q3B820	Q8WV44
O95249	Q9UEU0
Q15287	Q96LP2
O75348	P38606
Q99685	Q9BV23
Q01780	Q9Y2L1
Q8WUI4	Q92769
Q16520	Q9NR55
Q6P988	Q969G9
O95202	Q8NE86
Q07820	Q9Y297
Q8N4P3	Q9NRX2
O60671	P15927
P01375	P25963
P05387	P18077
O15235	P25398
O60783	Q9Y2R9
O15488	O15488
P57772	P62851
O15235	P04233
P21918	P78347
Q14137	Q96G46
P00738	P02675
P01344	P18065
O43521	Q96LC9
O60869	P46783
P01106	P35354
Q5BKX5	Q7L273
P26951	Q9GZX6
P01588	P21583
O14901	Q96EN9
P02808	Q96MV1
O43504	Q9Y3D8
P62917	Q8IYK2
Q96IV6	Q96IV6
Q96NC0	Q9BWJ5
P32780	Q12962
Q9C086	Q9H257
O75683	Q15527
H0UI37	P04179
P02724	Q9NUH8
Q15369	Q9UHK0
Q8WWH5	Q9NX24
P61313	Q6NTE8
P83876	Q8NAV1
Q14847	Q9BYR7
P62750	Q96CT7
O43272	Q96C36
O95140	Q13501
O15160	P82932
O14530	P14373
Q9BQ65	Q9UNP9
P46094	P48061
O15146	Q07001
Q6IC98	Q8IYI6
Q2TAC2	Q8IYA8
O95881	Q6P531
P51787	Q9Y6M1
P40426	Q99943
Q8IVT2	Q9BQC3
P61925	Q9Y2B9
Q12846	Q96IW7
P24394	Q9NPF7
P47914	P60866
O43583	P52298
P34810	Q01151
Q96PU8	Q9NPJ6
Q8WVX3	Q9BXK5
Q7L590	Q8IX90
Q9GZQ3	Q9Y6G5
Q05516	Q9H2G9
P49406	Q15029
P49848	Q9NS73
P29692	P62857
Q969V4	Q99932
Q14498	Q8NAV1
P14780	P17931
Q96GQ7	Q9H8H2
Q7Z434	Q8IUC6
Q14807	Q9NQS7
Q8N0Z2	Q8N0Z2
P46782	P50914
P55769	Q9Y4Y9
P46736	Q9NYG5
Q8N1B4	Q9BWG6
Q7Z7H8	Q9Y3B7
O43612	P48645
Q08AM6	Q8WUA4
O43609	Q5TD97
P05388	P06748
P37231	Q96AD5
P19447	P52435
O75781	Q7Z699
Q5JST6	Q8IY82
P56746	Q9Y5I7
O00231	P49721
Q8N9N2	Q9NRX2
P62906	Q13823
P02766	P10909
P13639	Q8IYK2
Q13257	Q9H900
Q3MII6	Q92733
P04141	Q14116
Q8NDZ4	Q9Y3B3
O14561	Q8N5N7
Q12933	Q8N6R0
P53803	Q9P1U0
P10275	P60484
Q8IWZ5	Q8IYA8
P78371	Q13033
P38919	P46781
P49918	P78396
O00566	Q9GZL7
Q96EL2	Q9P0J6
Q03135	Q15208
P62910	Q07020
Q495B1	Q495B1
P37108	P62913
O60512	O75752
P55010	P62753
A6NHQ2	P78316
Q5JVL4	Q8N6F8
Q15942	Q96HC4
A6NEM1	Q8N7U7
O60783	Q9NQ50
Q8WUD4	Q9HCS7
Q09161	Q9Y2W2
Q8NCK7	Q8NCK7
Q9BT09	Q9BT09
P40337	Q96SL1
Q14696	Q14696
P05155	P08174
P10914	P13500
O00231	Q16186
Q06587	Q9UJX6
P20618	Q9NP66
Q3SY00	Q5JVL4
Q5VTY9	Q9ULX9
Q9BWH2	Q9Y320
O15533	O75396
P13686	P22413
P62851	Q9BYD6
P05090	P34910
Q9NUW8	Q9NUW8
Q96SZ4	Q9H8Y1
P47897	P49589
O43818	Q06265
O95182	Q5XKP0
Q7RTX7	Q86XM0
Q7Z4G4	Q9UJA5
Q9Y570	Q9Y570
P60059	P62424
O75879	Q5TDP6
P25398	Q8N9N8
Q5XKP0	Q9NR28
Q16842	Q9BVH7
P49848	Q96ES7
H3BMG3	P62854
Q13190	Q8TBA6
P48643	Q9Y3A3
Q3KNW5	Q5TGU0
O15160	Q9UNA4
P62841	Q13347
Q14331	Q99459
Q9H0U6	Q9Y3D5
P51991	Q16629
P17861	Q14554
P31785	P35225
P09001	P46199
O43395	Q9Y4Z0
O43776	Q9UGM6
Q8N4Q1	Q9BSY4
O95478	P62913
P61218	P62269
P46777	Q96T21
Q86XF7	Q86XF7
O95838	P27487
O75496	Q9UJA3
P23396	P62899
Q969W3	Q9Y2Z2
O75460	Q92989
Q16633	Q52LG2
P49901	Q96NT3
P02746	Q9UHD9
Q9BSL1	Q9NWF9
A0A1B0GUV7	P46199
Q16626	Q8WUW1
O75439	P21912
Q13099	Q3SXY8
P50222	Q9NUL5
P51398	Q14197
Q8NA72	Q9Y3C5
P05166	P21953
O95336	Q13867
P09669	P36542
Q96HA8	Q99598
P08243	Q9Y617
Q8N7B9	Q96D09
P61313	Q99848
Q5TA89	Q8NES3
O00471	Q13563
P62241	P84098
Q9NY93	Q9UJA5
P37198	Q96EE3
Q96LY2	Q9Y5K5
Q8IVS2	Q92506
O15455	P10914
O75031	Q9Y2P0
O43482	Q16667
Q13049	Q9NXB0
P22083	Q9NY97
Q53QW1	Q5XKP0
P43897	P49771
P37837	Q9Y315
P22748	Q8TA86
P22301	Q15116
Q14241	Q8IXH7
O43889	P37268
Q8N205	Q9BVK8
P49006	Q9Y4K0
Q8TAF3	Q9BTP7
O60542	Q6UXV0
A5D8V7	Q9UFE4
P55010	P60866
P28907	Q4G0N4
P05388	P39019
P49674	Q16625
P29692	P62841
Q6IA69	Q96HA8
P50579	Q9Y5K5
P82914	Q9BRJ2
O95169	P17568
P82914	Q9H173
P29965	P49771
P21731	Q13162
O43281	O95872
O76024	O94933
Q96HB5	Q9Y5V3
O75489	P31040
P11168	Q9Y4Z2
P10721	P61073
Q9NQZ2	Q9Y221
Q9NPF4	Q9NPF4
Q2WGJ6	Q9Y5J6
P02545	Q9Y4E8
Q9BUV0	Q9UK58
Q8TDI7	Q9P202
O76024	Q9H0X6
Q14457	Q9Y3C5
P33993	Q9NQS7
Q9NUH8	Q9Y6K0
P33992	Q13416
Q9NW13	Q9UHA3
P46776	Q96D46
Q16540	Q9BRJ2
P10721	P16070
O95786	Q05823
Q8IYI6	Q9BXY8
Q13526	Q9Y3Q8
O95872	Q6PI77
P40394	P41247
P05388	P09132
O14526	P52594
Q15459	Q9H2I8
P48047	Q9NWU5
P23508	Q96G21
P19447	Q9HCS7
O95299	P13073
Q5BJF6	Q9Y592
P0CG48	Q99062
P63173	Q9BYD6
Q16718	Q96CU9
Q8IV16	Q8IV16
P01374	Q9Y275
Q5TB30	Q9H0H5
Q92759	Q96JC9
O75558	Q9H257
P48230	Q3KNW5
P04233	Q14974
P08243	Q7L266
O75419	Q9NR33
P39019	P62917
O00574	Q9Y4X3
P55212	Q99447
Q6QHK4	Q99081
P46781	Q9BQ48
O43524	Q96T60
P13591	P17677
P62241	P62495
O95639	Q9UKF6
P62753	P62899
P61513	Q969V3
P51787	P51787
P09417	P35270
Q9Y3B2	Q9Y5J1
Q8TDV0	Q9UNK0
P20674	P48047
Q9HC52	Q9NYG5
Q9BYD3	Q9HC36
Q5TB30	Q96KB5
Q6P444	Q9UBB9
P43115	Q0VD86
P04233	P82673
P00734	P02647
O95169	P03886
Q12972	Q8TCS8
P09132	P62899
Q99459	Q9BTA9
P49917	Q96BD5
P48643	Q6ZR37
Q53GT1	Q92990
Q8WVM0	Q9Y3D9
A8MQ03	Q86WX3
Q9P086	Q9Y5B8
P14920	P34897
O43482	Q9Y6H1
P42677	Q9ULX3
Q9Y3A4	Q9Y3A4
P22301	P49961
P62841	Q8IYK2
P59991	Q9H9D4
Q9UGK3	Q9UGK3
Q8TDT2	Q9NVV5
A0AVK6	P55212
O00716	Q16254
Q9BSH3	Q9BVN2
P41214	P62280
Q13478	Q9NPH3
Q7Z7G2	Q8IXM6
Q96DI7	Q9Y4Z0
Q17RB8	Q5JST6
P52434	Q9P086
O60869	P61513
Q14213	Q8NEV9
Q5H9L4	Q92750
Q8NHQ9	Q8TDD1
O75031	P41159
Q6IPR1	Q9H2W6
P11912	Q8WVX3
O15213	P62753
P28329	Q99598
P09038	P14780
Q69YG0	Q9BY50
P50542	Q92990
P36894	Q30201
P03905	Q9BUP3
Q08752	Q12905
P33992	Q9NRF9
Q9ULX6	Q9UPU9
P62308	Q9NXE8
O15553	Q676U5
P15880	P55010
Q96PU5	Q96PU5
Q6P1K2	Q6P1K2
A6NL82	Q9Y5B8
P32969	Q96A33
Q9BSF4	Q9Y5J7
P54252	Q96B02
P52434	Q9NVH2
Q05682	Q8WUZ0
O00422	Q05519
P84090	Q13838
Q9H1D0	Q9H1D0
P22830	Q99798
P38432	Q9BUI4
P01350	P32239
Q17RF5	Q9NP70
O43395	Q9BZL1
O75223	Q96S99
P47985	Q86Y39
P62750	Q6NTE8
Q86VR2	Q9ULZ2
P01135	P35225
Q7Z2W9	Q9P0M9
P10515	P21953
O14863	Q92504
P62314	Q86UA1
Q86XE3	Q8NE86
P27635	P46779
Q6IPU0	Q7L2Z9
Q9UJX2	Q9Y6D9
Q15269	Q8TDD1
O75390	P06744
P15812	Q9NNX6
Q86U44	Q8WYQ5
P22033	Q16822
Q52LA3	Q5TKA1
P78316	Q9GZR7
Q53G59	Q8IVS8
P01008	Q8IXL6
Q9H8Y8	Q9NTX5
O14901	P47804
P19404	Q8N0Y2
P08235	Q15185
O43716	Q10713
Q969E8	Q9BVS4
Q15369	Q9UK73
Q6TGC4	Q9H808
P52435	P53803
Q9H7B2	Q9Y3B9
P10145	P40933
O75344	Q8WWH4
O43542	Q17RS7
O95478	Q9NVP1
Q7Z2X4	Q8N9N5
P62906	Q9Y295
P32969	P48047
P04062	P16278
P01042	Q9BYF1
Q9BXR6	Q9NUH8
O75486	Q9NR33
Q15269	Q9Y6V7
