P81760	Q9SR70
P16972	P23321
O22609	Q9LK86
F4K265	O82245
P56801	Q9FLN4
Q8L6Z4	Q9FIT4
Q7FGZ2	Q9SYM0
Q9FKP0	Q9SX22
Q93YZ7	Q9ZSS6
Q8S9L5	Q9FZ81
P23321	Q9SGH4
O82230	Q42191
O64868	Q9CA36
Q9LYR2	Q9SUU5
O22213	Q940D0
Q8VZU4	Q9SYL9
Q9M0E2	Q9SAI5
Q5XVJ4	Q941B6
Q9FWS4	Q9MAP3
P56791	P93280
Q3E6S8	Q3E8B4
F4INA9	Q8GWJ4
Q8H191	Q8L866
Q00958	Q9C9W9
P25864	Q9M385
Q0WTB8	Q9S7T7
Q9FJP3	Q9LK61
Q8S9L5	Q9M9H4
Q9FGG3	Q9LQ65
F4KF14	Q8GZ79
Q6STH5	Q8L7K4
Q42545	Q84N64
O22131	O22131
P0C896	P93311
O22698	Q9FL82
O64511	Q0WQJ3
P56804	Q9LK61
B7ZWR6	Q9SZB2
Q6NPM8	Q94F00
Q39262	Q39262
P56762	Q8S9L5
Q8LF41	Q9C9U2
P0C7P8	Q9LXF2
Q9SFW6	Q9SKN7
Q0WQE7	Q9SUH5
Q8RWS1	Q8RXL7
Q9FK43	Q9SAI4
Q9LER7	Q9MAP3
Q944S1	Q9LFE0
P25873	Q8L607
P56770	P56796
F4JJH4	O65420
O82239	P48731
P56778	Q8W0Y8
Q9FNQ0	Q9LV14
P56798	Q9CAF9
O48676	Q9C9C9
O82567	Q9SZR0
P48785	Q4V3E2
Q8RVQ9	Q9C8J7
P56762	Q8L6Z4
F4IDY7	Q8L3P4
Q84V22	Q9C888
Q570B4	Q8L9C4
F4I1T9	Q8VWI7
O81822	Q9SSQ8
P56805	Q8VY91
P10796	P46283
Q94KJ7	Q9SEL5
Q6NLP2	Q9FZ81
Q9FGW0	Q9FM65
Q680K2	Q8RYE9
Q5E930	Q8GX93
P16180	Q9SJ41
O03042	P56782
F4HT77	Q8L7Q7
Q9C7Y4	Q9SJ89
F4HTT6	O81864
Q8GXT3	Q9ASX9
O65502	P56778
Q8VY16	Q9FNQ0
O80366	O80366
A9LNK9	Q93Z00
O50061	O64903
Q6NLP2	Q9M9H4
Q0WVL7	Q8S8N9
Q8VZG2	Q9LTC4
Q9LXF2	Q9SJ81
F4JZN6	Q8GWB7
P43291	Q9CAJ0
Q9C5G0	Q9FH51
Q93VC7	Q9LRN8
P25864	P56807
Q9FL82	Q9SV82
O80644	Q5E915
Q8S9J1	Q93ZB6
O24606	Q8LEG1
P56796	P92959
Q38885	Q9SAI5
O64647	Q56XU4
O80439	Q8VZ55
B0M1H3	Q9C9Z1
O50061	Q9M8X2
P62090	Q0WWE3
Q8GWB7	Q9SH93
Q8H1E8	Q8VZ79
P56763	Q95695
P0C7P8	Q9SJN2
Q84W91	Q9ZVC9
Q84P23	Q9S9N9
O22607	Q9LYZ0
Q8LEV3	Q9LK31
Q67Y83	Q9LX15
Q9FMF7	Q9LT68
Q84VZ1	Q8H129
O82499	P56762
Q3ECD6	Q9LYU7
Q8L707	Q9LY46
O04603	Q84R11
Q8RWL5	Q9SYM0
O04846	Q94CE3
P51412	Q9FLN4
P46313	Q9LW31
P53780	Q43725
O22263	Q8GXC7
P92949	Q8W2F2
Q3E8K0	Q84LR6
Q8LAV5	Q9LD55
Q8LDL0	Q9SSA5
F4K6X0	Q9SGH4
Q8LDN4	Q941C5
P56763	Q940A7
Q8GZ81	Q9MA87
Q9FXG8	Q9FXG8
A7XDQ9	Q8LD43
P92959	Q38833
Q8S8F9	Q9SCP7
Q8W0Y8	Q9S714
Q9C6A1	Q9SZL6
Q8LE47	Q9FZD1
Q949Q5	Q9SGH4
O23305	P46014
Q8GWL2	Q9LVZ8
Q84LH8	Q84LH8
Q8LFJ8	Q94FL5
O80934	P56756
P18612	Q06738
P56794	Q8S9L5
Q9M2H8	Q9M2H8
F4HYF3	P35510
P0C1T5	Q8LD63
P42752	Q0WNX9
Q8VZ87	Q9SR43
Q96323	Q9FN69
P52032	Q9ZW28
Q9SY74	Q9ZWA1
Q8GYY7	Q9M0V4
Q9SGH4	Q9SUI4
O24646	Q9SD85
Q9FNP0	Q9FNP0
Q93ZG3	Q9SZQ5
O23215	O81787
Q9LU36	Q9LVF0
P92949	Q9M1K0
Q93ZF6	Q9ZT50
Q94CJ5	Q9ZVH7
Q84JH7	Q8S9J1
P56760	P56762
O22263	Q7X9I4
Q42381	Q42381
P92559	Q9LP74
Q8L9H6	Q9FZE4
Q9M995	Q9SSB7
O80439	P93014
Q9SVX5	Q9SVX5
Q8W489	Q8W5S1
Q56XM9	Q6NLV4
P56754	P56770
O82499	P25873
Q8VY63	Q9SAI5
Q8H0W9	Q9FZ99
F4KAS1	Q84P24
F4KIA8	O48848
O04547	Q3ECJ5
Q9LM46	Q9M2K4
F4I2H2	Q6NML5
Q9MA55	Q9STX1
O80800	Q9M9B4
Q4FE45	Q9SKZ1
Q39233	Q8L860
Q94KK6	Q9SEL5
P42732	Q8VY91
O82291	Q9LPC4
Q9FLX8	Q9SW21
O04603	O50061
O82318	O82318
Q9FPW4	Q9M9M3
Q9FV53	Q9SAI5
P93312	Q04613
Q93W88	Q93W88
Q9M8T8	Q9SCZ0
Q9M347	Q9XEF0
O22229	Q9S713
Q8RXX5	Q9CAF9
P56773	P56788
Q66GR3	Q9LSL1
P56792	Q93VC7
O03042	P56765
Q43307	Q6X5Y6
P49063	Q8RY29
P48000	Q8VZN1
Q9FJP3	Q9MAP3
P25864	Q9FUZ2
P82869	Q9LPC4
Q9LQL4	Q9LQL5
Q94C33	Q9ZWA1
Q6AWW0	Q9ZVA1
Q39195	Q41932
Q9LDH0	Q9ZVI7
Q38885	Q9XH75
O80800	Q9SUU5
P56801	Q9SYL9
O82258	Q9S9N6
Q9CAD5	Q9XI29
Q8GXI9	Q9C5D0
Q9FZI8	Q9LZD0
Q8GWF1	Q8GWF1
Q9ZSD4	Q9ZSD4
Q9FLD7	Q9SNC3
Q8LB17	Q8LF05
Q9LU21	Q9LVM2
Q8L7K4	Q9SKY8
Q9ASV6	Q9LK61
O23078	O82567
O49195	Q93ZM9
Q2V4B2	Q9T0A4
B9DFU2	Q84TI6
Q3E991	Q3E991
Q9LRL4	Q9SX98
P56759	P61845
P26288	P83755
Q9C690	Q9FN69
Q9LE44	Q9LJ97
Q7XA66	Q7XA66
P56752	P56791
Q8GWE0	Q8L960
P0C7P8	Q9C9I8
Q9C6Z3	Q9SBJ1
Q9LD95	Q9LD95
Q9C552	Q9LK18
Q9C793	Q9ZTX9
Q39219	Q9FXA9
Q1ECF1	Q9LNW3
Q39199	Q948R9
P56762	P83755
Q84RF2	Q9LZW2
F4JYJ1	Q9M9G6
P56751	Q01667
Q9FLN4	Q9LER7
P56761	P56790
Q9FGJ4	Q9SQT4
Q9C5R8	Q9M7T0
O64614	Q8LEK2
Q8W261	Q9LXU0
P56794	P56806
B9DGI8	O24646
Q84MD6	Q8VZA0
O49347	P23321
F4J2K2	Q8LAX0
Q5PP23	Q9SNC3
O65220	Q8H1Q1
Q9LFP1	Q9SUJ1
P42762	Q08298
F4J8V5	Q8H1Q8
O49668	P82538
P37271	Q39208
Q9LDU5	Q9LDU5
P31170	Q6ID70
Q9LFP1	Q9SJL6
Q42029	Q9S714
Q7XA66	Q9LT25
Q9LRH6	Q9ZVC9
Q9LVM3	Q9SFB3
Q6X7J9	Q9ZVC9
Q38932	Q7XJM2
O50061	Q9LVC9
F4IUJ7	Q1PF33
Q96242	Q9LMA8
Q9FGQ6	Q9SFF4
P56806	Q9SZD6
Q9LRY0	Q9LRY0
P49243	P56765
P56808	P61847
P56754	Q94AQ8
Q58P71	Q9XI99
Q8VYM4	Q9M1X0
F4IDJ0	F4IMH3
A2RVM0	Q8GZ79
F4HZD1	Q2V3L3
Q8L4R0	Q9CAF5
Q8GYM3	Q9SUH5
P56788	Q95695
P49243	Q9LD43
P56756	P62090
Q5E930	Q9FLV9
Q8LF41	Q940A7
O81893	Q9FLT2
Q9FNC9	Q9SUU5
F4K2R6	Q8L746
Q1PFI4	Q9SA94
Q9C5R8	Q9SGS4
Q93VC7	Q9SJ41
Q1PE40	Q5S502
Q8LPN3	Q9SY73
Q9LY84	Q9S9M8
P92979	Q8H7F6
Q93ZB9	Q9M209
Q84VX4	Q8VWI7
Q1G3K7	Q8LFP1
P42732	P56798
Q56WH4	Q94EJ2
Q8S4F6	Q9C5W0
Q681K7	Q6NMN6
O64903	Q9LK61
Q9M0Z3	Q9M2D2
Q94AP0	Q9C5C4
Q3ECP0	Q9FNY3
P26288	P56780
Q94BV7	Q9ZR03
P49243	Q9SLA8
Q5YDB6	Q8GXN9
F4IJK1	Q9LXB8
F4IVU1	Q8S8M5
P92966	Q9FGL9
Q8LF41	Q9ZQ19
O81852	Q39218
Q84VZ1	Q9SZ45
P56762	P56780
Q8LCE4	Q9S740
P56759	P56761
Q9FJR9	Q9ZU27
Q8GYE0	Q9SR79
Q8L9X2	Q94AU9
O48726	P10896
Q8LDL0	Q9FL44
P92983	Q9ZW86
P51412	Q9SYL9
Q2V3J6	Q2V424
P56777	Q9T070
P93831	Q5E915
O48917	Q9C5I1
Q8S8N9	Q8VYU6
O80770	Q9SIW2
Q9CAK4	Q9FFX6
P25873	P56759
Q9FJP3	Q9M0E2
Q39233	Q94CG2
Q8L3P4	Q9M0V4
O23095	Q9LY66
P56802	Q8L3P4
Q8L7A9	Q9FN48
Q8GZA4	Q9LEV3
Q93V85	Q9ZUW3
Q38833	Q9SJE1
Q9FNA2	Q9MAT6
Q8LBA6	Q9FLZ5
Q0WQJ3	Q9SCY5
Q6PQQ3	Q8VZ80
P56804	Q9M0E2
Q9CAJ0	Q9LD83
O65502	P62090
Q9LJV9	Q9ZV04
P25864	Q8S9L5
P57720	Q02166
Q8H0V4	Q9M1S9
Q38813	Q9C911
Q8RXD4	Q9FQ09
A0MES8	Q1PFR7
Q8GWG0	Q9LZA6
Q67ZI9	Q8VYI9
O82238	Q9ZUX4
O82081	Q9FJ62
Q8RWN2	Q9SFB0
Q93XX2	Q9M670
O04616	P82538
Q9LU64	Q9M385
P56751	Q9SCY3
Q9C6D2	Q9T0I8
Q9LFV5	Q9SKN1
Q01667	Q42029
F4JFJ3	O80358
Q9FMT4	Q9MAT6
P56756	P56794
F4J117	Q9LF50
Q9M158	Q9SL05
Q8LPF1	Q9LSL6
P25864	Q8L6Z4
Q9SDS7	Q9SDS7
Q94FY7	Q9ZSK1
P26289	P56792
F4IK01	Q9SUH5
Q94K78	Q9ZR03
P56797	Q9SZD6
Q6DBG8	Q9FXA7
Q9C503	Q9FG89
O81884	Q8H103
O49499	P51102
Q9C6Z3	Q9M3B6
P56807	P62090
P92994	Q9LVW3
Q37165	Q84WN0
Q8GXU5	Q9SCK2
Q9FYL8	Q9LTJ6
O80568	Q93Z01
P0CB21	Q3E880
Q4V3E2	Q9MAT6
Q9ASV6	Q9MAP3
Q9ZU27	Q9ZUZ6
Q39204	Q9FNX8
Q9S713	Q9XF91
O04603	Q9LFV0
A2RVM0	Q9SV68
Q9M1Q1	Q9SV82
P31170	Q9SXJ6
P56797	P56806
P61841	Q37165
F4IFF3	Q9SU24
P56763	P56796
F4IMH3	Q9LFE2
Q9SGU3	Q9SZ46
O82089	Q9SH30
Q9LJD9	Q9M373
Q93ZB6	Q9MBA1
Q8W496	Q9C7Y4
P31265	P42732
P61841	Q9FZ81
Q84K90	Q9LFV5
Q3ECU1	Q8S8M2
P46313	Q9C5W0
O49668	O81208
O80567	Q9M9G6
C0Z2L5	O22763
Q8LAD0	Q9ZNR6
Q8LPK5	Q9LY46
Q8GWA7	Q9LN05
Q41932	Q9S7H1
Q3ECP0	Q9C9U2
Q9LXX5	Q9XI73
Q9LQ12	Q9LSI7
P56802	Q93VC7
Q9FHS6	Q9T0J4
P43291	Q9SJN0
Q39262	Q9SLB8
Q9FZ81	Q9SZD6
P61841	Q9M9H4
P56755	P61841
Q8RXD9	Q9SIK1
O03042	P56783
O23266	Q9FME4
P56752	P56804
P56791	Q8RY59
P92959	Q3ECD0
Q9LXX5	Q9S720
P26289	P56751
Q9CA78	Q9STK5
O81414	Q8H1R7
Q6NME7	Q8VWK4
Q94F58	Q9C7S0
A8MR65	Q9M0K4
Q38833	Q8RUS5
P16972	Q9LR64
Q38833	Q9C911
Q8RXS1	Q9CAC5
P56765	P56779
O22977	Q67ZI9
Q01667	Q9CAC5
P35632	Q00958
Q9MAP3	Q9SZD6
Q8GXV5	Q8VXY9
P48421	Q9SIV0
B0F9L4	Q9LS42
Q84JN2	Q9SR96
O64864	Q0WQJ3
Q9FMM7	Q9FMM7
O04547	Q9LYU7
Q1G3V9	Q9LW07
P56777	P56779
Q0V822	Q1ECR9
Q8L638	Q8LGI3
Q7Y175	Q9M9L3
P0DH85	Q8L8A8
Q9FGY4	Q9FLX3
P92550	Q95749
F4JZG9	Q500V9
P23321	P46283
Q94A94	Q9M8M7
P16180	Q9FIG9
Q9S7P9	Q9SX85
P92947	Q9SZR0
P93311	Q8RXN4
P92539	P93308
F4ILR7	F4IMH3
P0CC33	Q9LYR2
B9DFU2	Q9SIJ5
F4JBX1	Q6ID76
Q9FGL1	Q9FMU2
Q94C27	Q9LV14
Q56X52	Q9S713
P49572	Q8LPN3
Q9LTJ1	Q9SYQ0
Q8L5T9	Q9C8N5
Q9FG37	Q9M0N8
O64584	Q9C500
O80397	Q8LC53
Q8VWI7	Q9FGQ6
Q9LF37	Q9S834
F4IRB4	Q56YJ8
F4JCB2	Q93VK8
Q9CAS1	Q9FG36
O48528	Q6NKU9
O64764	Q9LUL8
F4IP06	Q9FH40
Q9FR44	Q9SAH5
Q39204	Q9LMA8
Q944S1	Q9C7E7
Q9SIM9	Q9SIM9
F4IMQ0	Q8H129
P93014	Q84JG5
Q9LYR2	Q9ZU25
Q9SVB7	Q9SVB7
Q9LVG2	Q9LVG2
P56801	Q84J62
Q9CA78	Q9S7R4
Q84TE6	Q9SAG4
P46313	Q1PFR7
O48582	P55826
P61841	Q8VWK4
O22203	Q9LU36
Q84VX3	Q9LXD1
O22527	Q8GS60
Q94C33	Q94C33
Q9FEB5	Q9SIK1
Q8GXJ1	Q9MAT6
P56794	P93311
Q9C9W0	Q9ZUT3
Q9SJW9	Q9SYM0
Q0WPF2	Q0WPF2
Q8LD43	Q9LY91
Q9SB36	Q9XIK0
O48724	Q9C9N6
Q8L607	Q944S2
Q9S9P8	Q9ZQG8
O23266	Q9FX45
Q9M812	Q9S7N7
Q94CG2	Q9S7P9
A2RVK7	Q9M209
Q3EBL9	Q8GXN6
O23078	Q39017
Q94CJ8	Q9C7P4
Q8H1R7	Q9SY20
P56761	P61845
Q67Z93	Q6R0H1
O23049	Q84TI6
P25873	Q9FLN4
Q6STH5	Q93W20
Q3ECP0	Q9FNY2
P16972	Q39194
P56794	Q9FGJ4
Q9FKV1	Q9FZ70
Q8LDU4	Q9FYC2
Q8GZA8	Q9SB92
Q94FY7	Q9LRN8
Q9C744	Q9LDK9
P56791	Q9ZUZ6
Q39057	Q9C9W9
Q8W4K1	Q9LR69
P43291	Q9FLI3
P56788	P56796
Q8RVQ9	Q8VXV7
P53780	Q9ZSS6
P39697	P56788
P0DKJ8	P93831
P25873	P42732
Q9SI02	Q9SR08
Q9LFD5	Q9SD22
Q500Y9	Q500Y9
Q8RVQ9	Q9SXY1
Q8W4K1	Q9LDD5
P56779	Q9SUI5
O49499	Q84P23
P0DMS1	Q8LF41
P37271	Q38933
Q9LQ32	Q9ZQC6
Q94AC8	Q9ZV06
P56779	P61843
P56762	Q8RXX5
Q39199	Q66GR6
Q9LRN8	Q9SAI5
Q6NPN9	Q8GYY7
Q39195	Q9SHE8
O22056	Q9LK61
Q8GZ63	Q9MA55
F4KDF5	Q8RX33
O49603	P56792
Q9S7L8	Q9SJM7
Q9M8X2	Q9SYL9
Q84LH3	Q9FT72
Q0WSH6	Q33884
Q680U9	Q9FLM8
P94077	Q9SZE4
F4IV16	Q9LIQ4
P36211	P56797
P56758	P56772
P56798	Q9FZ81
A9LNK9	Q84W56
P82658	Q9LXX5
Q94BS8	Q9LMI7
Q9FN39	Q9LDD4
Q05758	Q9LFG2
Q9FHR7	Q9LQF0
O48963	Q84LH8
Q9C518	Q9LQF0
Q9FKT4	Q9LP37
Q9SK32	Q9SK32
B5X0N6	Q8VYD4
Q1PF16	Q9M1K0
Q94AY1	Q9LYU8
Q39079	Q9XFI1
Q9FGP8	Q9LVJ7
P83755	P93311
O22795	P25864
P56791	Q9M8X2
Q8S9L0	Q9LVG2
Q67Y99	Q9LU39
A0A1P8BH03	Q0WNP8
P56798	Q9M9H4
Q9M7I9	Q9SJ02
O24410	Q9LS00
O24600	O65090
P56758	P56766
P56773	Q6NQK9
O23095	Q9SYL9
P93756	Q9FX28
Q9FGE9	Q9SSK9
Q8LEE9	Q9LSP9
Q67Z93	Q946J8
O24629	P56763
P61841	Q8RXU6
F4JCX9	Q8L500
Q95695	Q9SUI5
Q94AQ8	Q9SUI6
F4JSH1	Q9FZ54
Q9FGM0	Q9SXJ6
Q9C5W0	Q9C7W4
Q8VZD4	Q9LU10
F4K2R6	Q9FDX6
Q9CAA9	Q9LSN7
O04652	P49243
Q9SKT1	Q9SKT1
Q8L627	Q8RWD7
Q8H124	Q8VY63
F4K265	Q9SCK0
Q944I4	Q9SAU2
P41088	P51102
Q39204	Q9ZNS4
Q9C587	Q9FT72
O22315	O22315
P92519	Q8VYP0
P92527	Q9T6H8
P56798	P61841
Q3ECP0	Q940A7
Q9M1J1	Q9SRQ3
P92512	P92555
Q8VYL3	Q9FMF5
Q9LK61	Q9SX68
Q9FNA2	Q9SU79
Q8VY26	Q9M9Y8
O22607	Q3MV14
Q9LFY0	Q9LW85
Q2V2W6	Q500Y9
P56794	Q9M1X0
Q39079	Q9SAG8
P56756	P56801
P56755	Q9FG89
O64818	Q9LJH8
Q6DBA5	Q8VZA0
P16180	Q94FY7
Q8L9C4	Q9LQP8
P26289	P61847
Q9C6A9	Q9FV70
P51102	Q9FN69
Q9FG89	Q9SUI6
P56794	P56799
P16180	Q9LFE2
F4J469	Q9STE8
Q8L4D8	Q8L8M9
Q9C7S0	Q9SCK6
O82782	Q9SZ30
P83755	Q39102
Q8VY10	Q9SRX9
P56758	P56773
P56799	Q8L9S1
Q9LX29	Q9ZVH0
Q9C9W9	Q9C9W9
P56794	Q8RXX5
Q8L7T9	Q9FFU6
P56761	P83755
O04603	P31265
Q9SKN5	Q9SKN5
Q94AQ8	Q9LU21
P09468	P56772
Q00762	Q5Q0B3
Q8VXX9	Q94KK7
Q8RYE9	Q9SZ30
A9LNK9	O82239
O81851	Q940Q4
Q9LMM6	Q9ZQH2
Q8LBA6	Q9SRQ7
Q6X5Y6	Q9LZA6
P61847	Q9LFV0
Q84VQ4	Q9FJ82
Q8RYC6	Q9C8N9
O49668	Q8W4D6
Q3ECH9	Q6IWA9
Q6A331	Q9SZD1
P56777	Q96250
Q9LJV9	Q9S7M9
Q94A94	Q9C5C4
Q8GW43	Q9CAT6
Q8VZP6	Q9C5Q9
Q9ZNR6	Q9ZPY1
O23049	Q9LK61
P09468	P56766
F4IZC4	Q8RXE8
Q39072	Q9SJF1
Q39103	Q9LQF0
Q9SJE1	Q9SW18
B9DGI8	P49078
O22795	Q9M385
Q8GWA2	Q9FM80
Q38885	Q9M8X2
A8MS68	Q56YA5
Q94A32	Q9ZVH7
Q0WNZ5	Q9SGU9
P37107	P37107
Q56ZZ7	Q9LF50
Q8RVQ9	Q9MAT6
Q9FG89	Q9LU21
P62090	Q8L844
Q8GYK2	Q8VYP9
Q9FT81	Q9SZP1
Q941A4	Q9LJ97
Q8RXX5	Q9FZ81
Q9SIK1	Q9T071
Q8LEA0	Q8VZA5
O04209	Q8L7A9
O24646	Q9LXJ1
Q94B35	Q9M9Y8
P82790	Q9ZPW7
O49668	Q9LR64
Q42533	Q9ZR03
Q94JZ8	Q9LK22
Q93VM8	Q9ZUA5
F4IMH3	P56801
P56758	P56797
Q940Y3	Q940Y3
P56806	P92959
P25864	P93311
Q43314	Q9LFG2
Q0WT48	Q9SD61
Q94FY7	Q9SJ41
P93311	Q9M1X0
P49107	Q42029
P56799	Q9SB47
P56761	Q39195
Q8RXX5	Q9M9H4
Q8GTR4	Q9FEB5
Q8LGU6	Q9C613
A7UL74	F4I7C7
Q8VYJ1	Q9FI76
Q67Z93	Q8W5B1
B9DFV2	Q0WPF2
O03982	Q9FLU5
F4K2M8	F4KIX0
Q9M365	Q9SCL2
Q93YW0	Q9SIC9
Q8H100	Q8H1F4
P26288	Q01667
P43082	Q96242
Q9LDY5	Q9SCY2
P56759	Q8VZU4
P56799	Q9LW57
O23141	Q9FNA2
Q9FFX0	Q9FZ81
Q9C6A1	Q9FJR9
P0DKI1	Q941A0
P0DN99	Q8H1H9
O04017	Q9LQX5
Q6IWA9	Q6IWB2
B0F9L4	O22151
Q8VY91	Q9SKT0
P09468	P56773
Q8RWX4	Q94BU1
F4I3P9	Q9ZUR7
F4HY61	Q9ZQC6
F4HTQ1	Q9SFC7
Q9C823	Q9LV14
Q5YDB6	Q9SKN2
P56791	Q9LVC9
O65282	Q9LF37
P56791	P61845
P82538	Q9XF91
Q1PFR7	Q9LVU8
P23321	Q9ZR03
P56804	Q37165
Q8S307	Q9S7W5
Q39195	Q8H0W0
Q8L3W1	Q9FX77
P39697	P56791
O81836	Q6TLJ2
P53780	Q8LAX0
O22795	P56807
O50061	Q8VZU4
Q9FJF4	Q9XI36
O80634	Q01667
Q8RVQ9	Q9FVI6
Q9FJB4	Q9M8Y0
Q3ECD6	Q8LDN4
Q9FLN4	Q9LD95
P56772	P56807
A2RVK7	Q8L3P4
P56804	Q9M9H4
Q42536	Q9SJE1
F4KDF5	Q9SUC3
O65567	Q84JE8
P42793	Q9FME4
Q5HZ60	Q9LHQ7
P56797	Q9M1X0
P11490	P23321
Q84MB5	Q8RXW0
Q38828	Q94JM3
O82266	Q9LRZ3
P56755	Q8H0U5
Q8GWA9	Q9LFF1
Q9FMY1	Q9S746
Q6NKU9	Q9ZV24
Q9SQT9	Q9ZT17
P56797	P56799
Q84P24	Q96323
P56779	Q07473
P16180	Q9C8F1
O22870	Q9SKT0
Q8GWQ6	Q9MA55
O22208	Q9FUD3
Q84MA1	Q9M8Z5
Q5HZ00	Q84UV0
O22609	Q8L770
Q4F883	Q9S7H8
Q9FK30	Q9MA87
Q38885	Q9FFR6
O82258	Q9CAC5
F4JUU5	Q93VJ2
Q8L3R2	Q9SRP5
Q2HIM5	Q9FG71
P56807	Q9LFV0
Q96250	Q9SDS7
Q38967	Q5XEZ0
P93280	Q8RY59
P56778	Q95695
Q8L8T7	Q9C8J7
Q940A7	Q9AST1
P56808	P93280
Q8RWV8	Q9SF41
O65440	Q9FLX4
P18612	P30185
O80345	Q680U9
Q9M0V4	Q9M209
A2RVM0	Q9SHU7
Q8VYI1	Q94IB9
Q1G3Y0	Q9SYB5
Q8LPS2	Q94C26
Q8RY67	Q9LK71
Q4PSU4	Q9LG05
P56797	P92959
Q9FT74	Q9LVP1
O80949	Q8LBZ4
F4IRW0	Q96326
O80397	Q5BPF3
Q9C5Q8	Q9SF38
Q9FZ81	Q9M1X0
Q7FGZ2	Q9M3B4
O81414	Q9SR08
Q6A331	Q84JZ8
Q5E915	Q9ZUK6
P42732	P56794
Q39161	Q9LXH0
Q8VWK4	Q9M8X2
Q93ZB6	Q9SZ30
O22056	P51412
Q941Q3	Q9ZUM0
Q93ZW0	Q9T071
Q8VYJ1	Q9LRN8
Q0WWE3	Q42533
Q2V3C1	Q8GYW8
Q9ASS2	Q9SZ45
Q9LNN7	Q9LSK9
Q9LN22	Q9ZV24
P40602	Q680N1
O49519	Q3ECH9
Q9FLX6	Q9STJ7
Q93VC7	Q9LFE2
Q500Z7	Q940A7
F4HZD1	Q8GYW0
P56755	P56761
P26288	Q9SCY3
P56755	Q9SHE8
Q6NQ79	Q9CAA4
F4I340	P29525
F4JC20	O82312
Q7XJU1	Q9ZPW9
Q9LER7	Q9XJ27
Q84LM4	Q8RXP6
O22943	O64730
O81836	Q9XFB1
Q9LIR4	Q9LQK9
F4HPA7	Q6DBA5
Q8S9L5	Q9SKX4
F4JLC1	Q9M9E2
Q1H537	Q9FYC2
P25864	Q8RXX5
O22795	Q9FUZ2
Q9LPR4	Q9ZSS6
P56778	Q9ZR03
Q9M001	Q9S7D1
F4I2H2	P56763
P56804	Q8VWK4
O64477	Q9FZ32
Q93VC7	Q9M0V4
Q9FGC7	Q9M9Y8
Q8H1F7	Q94B35
F4K0E8	P37271
Q949Q5	Q9ZR03
F4KH86	Q94BU8
Q9FKF6	Q9FQ08
